,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
979,DOVE MOUNTAIN K-8,MARANA,PIMA,85658.0,PUBLIC,101,0.93
980,ELVIRA ELEMENTARY SCHOOL,TUCSON,PIMA,85756.0,PUBLIC,101,0.99
981,INDIAN BEND ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85032.0,PUBLIC,101,0.98
982,KYRENE DE LOS LAGOS SCHOOL,PHOENIX,MARICOPA,85048.0,PUBLIC,101,0.95
983,KYRENE MONTE VISTA SCHOOL,PHOENIX,MARICOPA,85048.0,PUBLIC,101,0.92
984,PORFIRIO H. GONZALES ELEMENTARY SCHOOL,TOLLESON,MARICOPA,85353.0,PUBLIC,101,0.93
985,ALTA VISTA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85051.0,PUBLIC,102,0.96
986,BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,QUEEN CREEK,MARICOPA,85142.0,CHARTER,102,0.8
987,GATEWAY POINTE ELEMENTARY,HIGLEY,MARICOPA,85236.0,PUBLIC,102,0.92
988,RICHARD E MILLER SCHOOL,PHOENIX,MARICOPA,85021.0,PUBLIC,102,0.95
989,SETTLERS POINT ELEMENTARY,GILBERT,MARICOPA,85296.0,PUBLIC,102,0.94
990,WESTWIND PRIMARY,PHOENIX,MARICOPA,85037.0,PUBLIC,102,0.99
991,ADAMS TRADITIONAL ACADEMY,PHOENIX,MARICOPA,85027.0,CHARTER,103,0.93
992,AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,QUEEN CREEK,PINAL,85140.0,CHARTER,103,0.9
993,COCHISE ELEMENTARY SCHOOL,SCOTTSDALE,MARICOPA,85258.0,PUBLIC,103,0.91
994,ODYSSEY PREPERATORY ACADEMY - GOODYEAR,GOODYEAR,MARICOPA,85338.0,CHARTER,103,0.9
995,ORANGEWOOD ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85021.0,PUBLIC,103,0.94
996,SALIDA DEL SOL ELEMENTARY,YUMA,YUMA,85364.0,PUBLIC,103,1.0
997,BASIS PHOENIX CENTRAL PRIMARY,PHOENIX,MARICOPA,85012.0,CHARTER,104,0.93
998,BILTMORE PREPARATORY ACADEMY,PHOENIX,MARICOPA,85018.0,PUBLIC,104,0.97
999,BRET TARVER ELEMENTARY,PHOENIX,MARICOPA,85031.0,PUBLIC,104,1.0
1000,CHARLES W HARRIS ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85035.0,PUBLIC,104,0.98
1001,CHEROKEE ELEMENTARY SCHOOL,SCOTTSDALE,MARICOPA,85253.0,PUBLIC,104,0.89
1002,IRA A FULTON ELEMENTARY,CHANDLER,MARICOPA,85248.0,PUBLIC,104,0.93
1003,NORTERRA CANYON K-8,PHOENIX,MARICOPA,85085.0,PUBLIC,104,0.88
1004,SUNBURST ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85306.0,PUBLIC,104,0.97
1005,TOMAHAWK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85033.0,PUBLIC,104,0.96
1006,BOULDER CREEK ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85024.0,PUBLIC,105,0.99
1007,CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,CHANDLER,MARICOPA,85224.0,PUBLIC,105,0.96
1008,COLONEL JOHNSTON ELEMENTARY SCHOOL,FORT HUACHUCA,COCHISE,85613.0,PUBLIC,105,0.99
1009,DESERT SAGE ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85310.0,PUBLIC,105,0.92
1010,FORT MOHAVE ELEMENTARY SCHOOL,FORT MOHAVE,MOHAVE,86426.0,PUBLIC,105,0.97
1011,IMAGINE ELEMENTARY AT COOLIDGE,COOLIDGE,PINAL,85128.0,CHARTER,105,0.96
1012,LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,ORO VALLEY,PIMA,85755.0,CHARTER,105,0.91
1013,QUAIL RUN ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85050.0,PUBLIC,105,0.81
1014,VERRADO ELEMENTARY SCHOOL,BUCKEYE,MARICOPA,85396.0,PUBLIC,105,0.82
1015,ROBERT AND DANELL TARWATER ELEMENTARY,CHANDLER,MARICOPA,85248.0,PUBLIC,106,0.96
1016,TIERRA DEL SOL ELEMENTARY SCHOOL,SOMERTON,YUMA,85350.0,PUBLIC,106,0.97
1017,WHITMAN ELEMENTARY SCHOOL,MESA,MARICOPA,85201.0,PUBLIC,106,1.0
1018,BASIS SCOTTSDALE PRIMARY,SCOTTSDALE,MARICOPA,85259.0,CHARTER,107,0.92
1019,CORTINA ELEMENTARY,QUEEN CREEK,MARICOPA,85242.0,PUBLIC,107,0.89
1020,MARLEY PARK ELEMENTARY,SURPRISE,MARICOPA,85379.0,PUBLIC,107,0.86
1021,TUSCANO ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85043.0,PUBLIC,107,0.99
1022,DREAMING SUMMIT ELEMENTARY,LITCHFIELD PARK,MARICOPA,85340.0,PUBLIC,108,0.89
1023,NEELY TRADITIONAL ACADEMY,GILBERT,MARICOPA,85233.0,PUBLIC,108,0.94
1024,PALM VALLEY ELEMENTARY,AVONDALE,MARICOPA,85340.0,PUBLIC,108,0.9
1025,ROUND VALLEY INTERMEDIATE SCHOOL,EAGAR,APACHE,85925.0,PUBLIC,108,0.88
1026,SUNSET HEIGHTS ELEMENTARY SCHOOL,PEORIA,MARICOPA,85382.0,PUBLIC,108,0.97
1027,SUPERSTITION SPRINGS ELEMENTARY,MESA,MARICOPA,85209.0,PUBLIC,108,0.94
1028,TAVAN ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85018.0,PUBLIC,108,0.94
1029,ALTA E BUTLER SCHOOL,PHOENIX,MARICOPA,85009.0,PUBLIC,109,0.99
1030,KIVA ELEMENTARY SCHOOL,PARADISE VALLEY,MARICOPA,85253.0,PUBLIC,109,0.93
1031,MCCARTNEY RANCH ELEMENTARY SCHOOL,CASA GRANDE,PINAL,85122.0,PUBLIC,109,1.0
1032,ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85248.0,PUBLIC,110,0.92
1033,CRAYCROFT ELEMENTARY SCHOOL,TUCSON,PIMA,85756.0,PUBLIC,110,0.96
1034,DESERT MOUNTAIN ELEMENTARY,QUEEN CREEK,MARICOPA,85242.0,PUBLIC,110,0.9
